product name,asin,brand name,mrp,sale price,discount percentage,product description,date first available,number of reviews,seller name
BHAGIRATH Standard comfort Disposable Pollution/Surgical Elastic Mask Surgical Face Mask with Earloop Great for Air Pollution Virus. 1,B085GL266P,Bhagirath fab,16999,199,99%,IND mask covers the userâ€™s nose and mouth and provides a physical barrier to fluids and particulate materials. The surgical masks referenced in this guidance document include masks that are labeled as a surgical laser isolation dental or medical procedure masks with or without a face shield.,01-03-20 0:00,0,Bhagirath fab
SHOPPERMART urgical Face Mask Disposable - Pack of 5,B07YPSZK39,SHOPPERMART,,,,Easy breathable effective multiplayer bacterial filter soft lightweight comfortable and easy to wear used in medical dental laboratory food sectors school household industry and multi-purpose bacteria filtration efficiency 99% particle filtration efficiency (0.1 micron) 99% virus filtration efficiency (0.1 micron) 99% fluid repellent 120 mmhg breathable < 49 0 pa fluid resistant hygienic & skin friendly,03-10-19 0:00,2,
ShopyBucket Standard 3 PCS comfort Disposable Pollution Elastic Mask Disposable 3 Ply Face Mask with Earloop Great for Air Pollution Virus Protection & Personal Health Face Mask,B0855V7MQ8,Shopy,798,510,36%,,26-02-20 0:00,0,BasicDeal
Ivaan Disposable Earloop Medical Face Masks Two Layer Non-Woven Pack 0f 100 pcs,B082HDNJCP,IVAAN,,,,Facemasks help limit the spread of germs. When someone talks coughs or sneezes they may release tiny drops into the air that can infect others. If someone is ill face masks can reduce the number of germs that the wearer releases and can protect other people from becoming sick. A face mask also protects the wearer's nose and mouth from splashes or sprays of body fluids. It is ideal for every house in day to day activities as well as doctors surgeons dentist dental assistance nurses landscapers contractors plumbers exterminators nail technicians and many more.,08-12-19 0:00,6,
TRENDING Anti-Pollution Dust Cotton Unisex Mouth Half Face Mask Pack of 5 pcs,B084GTYK9V,TRENDING,,,,Made of Cotton Materials Perfect for daily wear to protect you from dust ash and so on. A good choice for sports such as cycling camping hiking. One size fit all Unisex Cycling Anti-Dust Cotton Mouth Face Mask Respirator Black. Its Brand New product. Good for Bikers and cyclist. It protects your health from polluted air.,03-02-20 0:00,9,
Gnexin ISI Approved Mask RespiratorPollutionAnti virus,B084M511KM,Gnexin,299,299,,Clair filters presents you Pollution mask ISI certified. This mask helps in filtering the air upto 95% as it is certified from ISI. This a cup shaped mask with metal nose clip with nose foam for better comfort. It also consists of an exhalation valve that help in long hours usage of this mask.,09-02-20 0:00,2,ONESENSE ENTERPRISE
3M 9004 IN Particulate Respirator White Pack of 10,B0146DETH6,3M,,,,The 3M 9004 IN is a dust mask composed of three layers of filters. The outermost layer filters out the largest dust particles the innermost layer preserves the respiratorâ€™s shape and the middle layer is composed of electrostatic filter media. It has the ability of this respirator mask to filter above 90 percent of 0.3-micron particulate dusts. Scientific research has proven that for all dust particles sizes 0.3 micron dust are the most difficult to filter effectively. This 3M mask is used as a disposable face mask for respiratory protection against fine dust particles. It is a bestselling safety mask in 3M safety products line. 3M 9004 mask has cup shape design and comes with aluminium nose clip and neoprene elastic band for comfortable fitting on every face. 3M 9004 is not a N95 mask and it is not a breathing mask used in acid/alkaline/gas particles.,20-08-15 0:00,839,
Ashley Plastic Disposable Ear Loop Elastic 2 Layer Face Mask Blue - 100 Pieces,B07XRPLXXW,Ashley,,,,We Ashley are well-known and distinguished manufacturer of a wide range of disposable caps shower cap disposable covers medical masks disposable briefs disposable bed sheet. Ashley is committed to achieving 100 % by supplying products according to the requirement. We are well equipped with machinery which enables us in maintaining the aspects.,10-09-19 0:00,0,
Kodenipr Club Disposable Stretchable Blue Bouffant Caps/Surgical Caps/Cooking Caps 100 Pieces,B0777HKWJF,KODENIPR CLUB,299,60,80%,Disposable cap is produced using spun bond polymer non-woven texture spun-bind textures as the principle crude material. This material is favored for its light weight. Its gravity is lighter than hydrophobic pp strands so it has great water repellency and air penetrability bringing about giving solace and dryness bringing about the enemy of bacterial and against contagious obstruction.,09-08-17 0:00,199,Genesis Lifesciences (India) Pvt. Ltd.
SMARTCARE Face Mask Cloth Tie Green,B079CHH5M3,SMARTCARE,1000,250,75%,Cloth Face masks. Used in medical dental laboratory food sectors school household industry and multi-purpose. Easy breathable effective multilayer bacterial filter. Soft lightweight comfortable and easy to wear Smart Care Trust.,28-01-18 0:00,1,Aastha Uniform and Overgowns
Salus Disposable Surgical Bouffant Caps 100 Pcs,B0052GIM84,Salus,249,135,46%,100 Pcs Of Disposable Bouffant Cap Qare Made With Virgin Medical Grade Technical Textiles That Are Hypoallergenic And Soft On The Skin. The High Performance Caps Provide Maximum Protection To The Environment From Hair Bacteria And Microorganisms While Remaining Cool And Breathable To The User.,04-06-14 0:00,136,Aurum Creations
PrimeStore Reusable Surgeons Cotton Gown Set with Face Mask and Cap Green,B076GXKW7Z,PrimeStore,1020,515,50%,Made from highly durable fabric. Finest surgeon gowns have sturdy double-stitched seams. Sleeves with stockinette cuffs.,15-10-17 0:00,8,New Prime Store
NOYMI Particulate Disposable Respirator Mask Anti Pollution Dust Masks for Sanding Construction Grinding Drywall Household Dust3 Packs-White,B084WXGWYJ,NOYMI,,,,3 Packs individual clear package wrap. We recommend that the respirator masks be replaced when they are dirty damaged and/or difficult to breathe through. No it is not washable. This is disposable product. This dust mask is composed of three layers. This unit is at least 95% efficient in filtering odors from solid and liquid particles that do not contain oil. This is one size fits most. Material: Non woven fabric Size: One size fits most Color: White 3 x Disposable Dust Masks,17-02-20 0:00,63,
