asin,product name,date
B06Y575GXS,Society-Minute-Tea-Masala-500g,06 October 2020
B06Y575GXS,Society-Minute-Tea-Masala-500g,06 October 2020
B0832PGNNH,Amul-Cheese-Slices-200g-Pack,05 October 2020
B0832PGNNH,Amul-Cheese-Slices-200g-Pack,05 October 2020
B07MXHP8K4,Cinthol-Lime-Soap-100g-Pack,05 October 2020
B07MXHP8K4,Cinthol-Lime-Soap-100g-Pack,05 October 2020
B082VWY78W,Streax-Shampoo-Enriched-Extracts-Long-Lasting,05 October 2020
B082VWY78W,Streax-Shampoo-Enriched-Extracts-Long-Lasting,05 October 2020
B07QB5ZDTD,Godrej-Direct-Cool-Refrigerator-1905-PTDI,04 October 2020
B07QB5ZDTD,Godrej-Direct-Cool-Refrigerator-1905-PTDI,04 October 2020
B07DCXBQPV,Paper-Boat-Mixed-Fruit,04 October 2020
B07DCXBQPV,Paper-Boat-Mixed-Fruit,04 October 2020
B075P2RKDG,Dettol-Detergent-Liquid-Laundry-Sanitizer-Spring-Blossom,04 October 2020
B075P2RKDG,Dettol-Detergent-Liquid-Laundry-Sanitizer-Spring-Blossom,04 October 2020
B072VLGBDS,Streax-Vitalized-Hair-Serum-300,04 October 2020
B072VLGBDS,Streax-Vitalized-Hair-Serum-300,04 October 2020
B0119NDPS0,Tata-Tea-Premium-1-5kg,04 October 2020
B0119NDPS0,Tata-Tea-Premium-1-5kg,04 October 2020
B07MJ62P6D,Patanjali-UHT-Milk-1000-ml,03 October 2020
B07MJ62P6D,Patanjali-UHT-Milk-1000-ml,03 October 2020
B07MXHP8K4,Cinthol-Lime-Soap-100g-Pack,03 October 2020
B07MXHP8K4,Cinthol-Lime-Soap-100g-Pack,03 October 2020
B07MZCKBNZ,Cinthol-Confidence-Soap-100g-Pack,03 October 2020
B07MZCKBNZ,Cinthol-Confidence-Soap-100g-Pack,03 October 2020
B07MVHJ6CH,Mysore-Sandal-Soaps-Pack-Bars,03 October 2020
B07MVHJ6CH,Mysore-Sandal-Soaps-Pack-Bars,03 October 2020
B086T4WGRY,Savlon-After-Shave-Lotion-1000,02 October 2020
B086T4WGRY,Savlon-After-Shave-Lotion-1000,02 October 2020
B07H3V7LNR,Amul-Pro-500g-Pouch-Pack,01 October 2020
B07H3V7LNR,Amul-Pro-500g-Pouch-Pack,01 October 2020
B071VPLC99,Patanjali-Shatavar-Mushli-Ashwagandha-Churna,01 October 2020
B071VPLC99,Patanjali-Shatavar-Mushli-Ashwagandha-Churna,01 October 2020
B072VLGBDS,Streax-Vitalized-Hair-Serum-300,01 October 2020
B072VLGBDS,Streax-Vitalized-Hair-Serum-300,01 October 2020
B018E0GEAM,Amul-Fresh-Cream-250ml,30 September 2020
B018E0GEAM,Amul-Fresh-Cream-250ml,30 September 2020
B07H3V7LNR,Amul-Pro-500g-Pouch-Pack,30 September 2020
B07H3V7LNR,Amul-Pro-500g-Pouch-Pack,30 September 2020
B075P2RKDG,Dettol-Detergent-Liquid-Laundry-Sanitizer-Spring-Blossom,29 September 2020
B075P2RKDG,Dettol-Detergent-Liquid-Laundry-Sanitizer-Spring-Blossom,29 September 2020
B01CLFHBAS,Titan-Analog-Black-Dial-Watch-1805NM01,28 September 2020
B01CLFHBAS,Titan-Analog-Black-Dial-Watch-1805NM01,28 September 2020
B082VWY78W,Streax-Shampoo-Enriched-Extracts-Long-Lasting,27 September 2020
B082VWY78W,Streax-Shampoo-Enriched-Extracts-Long-Lasting,27 September 2020
B015XSO0L8,Mysore-Sandal-Millennium-Soap-150g,27 September 2020
B015XSO0L8,Mysore-Sandal-Millennium-Soap-150g,27 September 2020
B00RV35ABS,Streax-Professional-Hold-Funkey-Colour,26 September 2020
B00RV35ABS,Streax-Professional-Hold-Funkey-Colour,26 September 2020
B0119NE5IE,Tata-Premium-Leaf-South-500g,26 September 2020
B0119NE5IE,Tata-Premium-Leaf-South-500g,26 September 2020
B01IBTCZNG,Amul-Cow-Ghee-500ml,24 September 2020
B01IBTCZNG,Amul-Cow-Ghee-500ml,24 September 2020
B07H3V7LNR,Amul-Pro-500g-Pouch-Pack,24 September 2020
B07H3V7LNR,Amul-Pro-500g-Pouch-Pack,24 September 2020
B08HKJWHWS,Patanjali-Ayurved-Ltd-CORO-NIL-Tablet,24 September 2020
B08HKJWHWS,Patanjali-Ayurved-Ltd-CORO-NIL-Tablet,24 September 2020
B07V6DPTJ1,Cinthol-Original-Soap-100-Pack,24 September 2020
B07V6DPTJ1,Cinthol-Original-Soap-100-Pack,24 September 2020
B07NLLPYJ3,Britannia-Vita-Marie-Gold-150g,24 September 2020
B07NLLPYJ3,Britannia-Vita-Marie-Gold-150g,24 September 2020
B07J2MQNW3,Mysore-Sandal-Bathing-Soap-125g,24 September 2020
B07J2MQNW3,Mysore-Sandal-Bathing-Soap-125g,24 September 2020
B00RV35ABS,Streax-Professional-Hold-Funkey-Colour,23 September 2020
B00RV35ABS,Streax-Professional-Hold-Funkey-Colour,23 September 2020
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,22 September 2020
B07NLR9YPZ,Natural-Festive-Delight-Assorted-Jelimals,22 September 2020
B018E0GEAM,Amul-Fresh-Cream-250ml,22 September 2020
B018E0GEAM,Amul-Fresh-Cream-250ml,22 September 2020
B08CHMZD9K,Tata-Tea-Gold-Leaf-Pouch,22 September 2020
B08CHMZD9K,Tata-Tea-Gold-Leaf-Pouch,22 September 2020
B082VWY78W,Streax-Shampoo-Enriched-Extracts-Long-Lasting,21 September 2020
B082VWY78W,Streax-Shampoo-Enriched-Extracts-Long-Lasting,21 September 2020
B01GCESDT2,Society-Tea-Regular-250g-Pouch,21 September 2020
B01GCESDT2,Society-Tea-Regular-250g-Pouch,21 September 2020
B083X1P1M7,Society-Daily-Elachi-Premix-Pouch,21 September 2020
B083X1P1M7,Society-Daily-Elachi-Premix-Pouch,21 September 2020
B00AI87X0O,Tata-Tea-Premium-North-1kg,21 September 2020
B00AI87X0O,Tata-Tea-Premium-North-1kg,21 September 2020
B01CHVPR16,Tata-Tea-Premium-North-1kg,21 September 2020
B01CHVPR16,Tata-Tea-Premium-North-1kg,21 September 2020
B071VPLC99,Patanjali-Shatavar-Mushli-Ashwagandha-Churna,20 September 2020
B071VPLC99,Patanjali-Shatavar-Mushli-Ashwagandha-Churna,20 September 2020
