Price,Area,Locality,Year
8262000,1800 sqft,"BhagyalaxmiNagar,Kavadiguda",2018-2019
10935000,2500 sqft,"Gachibowli,OuterRingRoad",2018-2019
4374000,1477 sqft,Gachibowli,2018-2019
9720000,2160 sqft,"Moosapet,NH",2018-2019
5589000,1580 sqft,RaghavendraColonykondapur,2018-2019
12150000,2600 sqft,"BanjaraDarwaja,GolcondaFort",2018-2019
7776000,1350 sqft,"MohansSaiSignature,Nanakramguda",2018-2019
3159000,1477 sqft,Gowlidoddy,2018-2019
8505000,1700 sqft,"Somajiguda,NH",2018-2019
2673000,1150 sqft,Kapra,2018-2019
4617000,1330 sqft,"TilakNagar,NewNallakunta,NH",2018-2019
7290000,1836 sqft,"Neknampur,Manikonda,OuterRingRoad",2018-2019
4374000,1540 sqft,"MayuriNagar,Miyapur",2018-2019
7290000,1720 sqft,"AccurateWindChimes,Narsingi,OuterRingRoad",2018-2019
7533000,1950 sqft,"HyderNagar,NH",2018-2019
11907000,2075 sqft,"VajrasJasmineCounty,Financialdistrictgucchibowli",2018-2019
9234000,2500 sqft,"TirumalaGardens,BanjaraHills,NH",2018-2019
4374000,1080 sqft,"ParagonVenkatadriApartments,Kachiguda,NH",2018-2019
6318000,1500 sqft,"MeenakshiHomes,Miyapur,NH",2018-2019
6075000,2150 sqft,Papulguda,2018-2019
2916000,1350 sqft,"Bachupally,OuterRingRoad",2018-2019
8262000,1198 sqft,NanakramGuda,2018-2019
9477000,2100 sqft,"L&TSereneCounty,Gachibowli,OuterRingRoad",2018-2019
8991000,1875 sqft,"SMPlaza,ECIL",2018-2019
3159000,1200 sqft,"ChattaBazaar,PatharGatti",2018-2019
8505000,1296 sqft,"LodhaMeridian,KukatpallyHousingBoardColony,NH",2018-2019
10935000,1100 sqft,HitechCity,2018-2019
9234000,2000 sqft,"BanjaraHills,NH",2018-2019
10935000,2020 sqft,"Gachibowli,OuterRingRoad",2018-2019
8505000,1200 sqft,Mehindipatnam,2018-2019
8505000,1640 sqft,"YMCACircle,Narayanguda",2018-2019
8505000,1640 sqft,"YMCACircle,Narayanguda",2018-2019
